,0,1
121,就觉得丑。,0
122,还有，,0
123,尼康的产品，,0
124,拿在手里看，,0
125,比看照片帅一点，,0
126,最明显的例子就是D4。,0
127,RX1入手两个多月，,0
128,自认为对它已经有了一定的了解。,0
129,先说一下我认为的缺点，,0
130,希望有索尼公司的人路过，,0
131,反映给设计部门，,0
132,作为参考。,0
133,1、电池太渣。,1
134,我两块电池（一块原电，一块品胜），,0
135,在北方零下十几度的气温下，,0
136,轮换着用，,0
137,直到电量用尽开不了机，,0
138,不到两个小时。,0
139,错失很多想拍的镜头，,0
140,差点儿让我崩溃。,0
141,（因为我用过佳能的5d，60d，,0
142,它们的LP-E6电池，,0
143,这种气温下一块原装电池随便用个3、4天没问题。,0
144,我买了移动电源，,0
145,但是外挂电源毕竟影会影响RX1的便携性。,1
146,2、对焦慢。,1
147,这个很多人都在说，,0
148,我基本上能接受，,0
149,这个和对焦方式及镜头的重量都有关系。,0
150,就是对焦前先来回抽一下让人蛋疼。,1
151,既然收购了奥巴，,0
152,借鉴一下奥巴的对焦技术应该也有可能。,0
153,也许不久的将来可以通过固件就能升级。,0
154,3、持握感。,0
155,有手柄据更好了，,0
156,可以顺势把电池做大。,0
157,4、机械快门线接口。,0
158,我是从凤凰303，,0
159,海鸥4b入的门，,0
160,机械快门线因为是机械传动，,0
161,稳定性照电子快门线和遥控器差的多，,1
162,想想一条钢丝插在快门按钮上晃来晃去，,0
163,我就想说，,0
164,为了复古，,0
165,就全部照搬，,0
166,不知道设计师到底怎么想的。,0
167,还有那个富士x100，,0
168,也是如此的设计。,1
169,5、还有一条，,0
170,对我来说是缺点，,0
171,但对别人也许是优点。,0
172,就是我觉得把闪光灯的位置如果让给取景器更好。,0
173,因为我觉得闪光灯离镜 ...,0
174,——为了能让骚尼能引起重视，,0
175,争取每天把影友对RX1这个意见顶起来，,0
176,啥时骚尼把这些不足改正、改进了这些不足，,0
177,就下手，,0
178,不再玩任何其它品牌机子了！,0
179,我等……,0
180,刚入手D600，,0
181,新机开封0快门OK，,2
182,不过感觉快门很涩，,1
183,感觉没有以前用的D90清脆，,0
184,单次快门有很明显的两声。,0
185,快门打到250尽然有重影，,1
186,也不新手，,0
187,奇了怪了。,0
188,后来打到CH档，,0
189,按住快门时，,0
190,并不连续，,0
191,中间会有停顿。,0
192,感觉很不畅，,0
193,像有东西卡一样。,0
194,后来我调节快门至1000，,0
195,CH打到5fps，,0
196,就连续打机关枪，,0
197,快门大概打了200次左右。,0
198,快门声音变清脆多了。,2
199,单次快门没有之前明显的两声了，,0
200,真头大！,0
201,再看新拍的照片也没有之前的重影了。,0
202,我这算不算传说中的快门事件？,0
203,还是个例外？,0
204,请问各位前辈学长们，,0
205,有没有遇到相同问题？,0
206,盼分解！,0
207,"真心觉得,",0
208,"D600质量还不如以前的D90,",1
209,要不是看在全副的面子上...,0
210,泪牛满面~,0
211,最近看到论坛上很多摄友对于索尼的A58嗤之以鼻，,0
212,挑很多毛病。,0
213,看到了非常多，,0
214,其实我想发表一下自己的看法。,0
215,其实我不否认，,0
216,一开始这款机子公布以后我也很失望，,0
217,期待是因为感觉终于有一部索尼新的CMOS传感器来代替原来的1620万的“神之传感器”了。,0
218,像素提升了400万，,2
219,而且高感的效果并没有下降，,2
220,从目前的样片来看，,0
221,感觉高感效果和宽容度不亚于原来的A57。,2
222,感觉高感效果和宽容度不亚于原来的A57。,2
223,论坛上的大多朋友之所以很反感这部机器，,0
224,主要的原因其实不外乎三个：,0
225,1，和“5”开头的机器甚至“3”开头的机器都不相符的塑料卡口。,1
226,2，在佳能的屏幕像素升至102万、自家的卡片机RX100都升至123万像素的时候，,0
227,A58的LCD屏幕不升反降，,2
228,变成了与A37相同的46万像素。,0
229,3，完全没有发挥半透镜优势的对焦6张/秒的连拍速度。,1
230,对于画质这方面，,0
231,我也没资格说A58一定好于A57，,0
232,但是就目前来看，,0
233,599美元的18-55 Ⅱ套机无疑是最有利的竞争资本。,0
234,而且就目前的资料来看，,0
235,A58就是A37的替代品，,0
236,因为A57并没有停产，,0
237,这两者的定位从参数上就能看得非常清楚。,0
238,在这个价位下，,0
239,你还能奢望什么呢。,0
240,3000+的单反/单电相机，,0
241,说句实话，,0
242,不算贵。,0
243,一切的性能都是从价位上直接反映出来的，,0
244,如果我发一个帖子说“我想要一个镁合金机身，,0
245,全画幅，,0
246,2400万像素，,0
247,各种功能齐全、,0
248,并且够我用2年不过时的相机，,0
249,但我只有5000块钱，,0
250,求推荐。”,0
251,这种帖子一定不乏楼主傻X、做梦去吧、自己造一台之类的回复吧~,0
252,原因很简单，,0
253,因为我付出的钱和我拿到的东西不是等价的，,0
254,同样的道理，,0
255,把A58的卡口换成金属，,0
256,用上A57的快门、把连拍速度提上去，,0
257,再换成92万的主流LCD，,0
258,（也就是一个升级了传感器的A57）,0
259,你说请把它配上一个18-55Ⅱ镜头以599美金的价格卖给我，,0
260,朋友们，,0
261,厂家不是傻子。,0
262,当然，,0
263,对器材的追求永远是摄影者不变的话题，,0
264,谁都希望以最低的价格拿到最好的东西。,0
265,但是，,0
266,毕竟成本在那摆着。,0
267,希望大家把眼光转向技术层面，,0
268,一个能用一台入门级拍出好作品的人，,0
269,给他更好的机器只会让他的创作更加得心应手。,0
270,而一味追求器材，,0
271,其实是忽略了摄影的本质。,0
272,还希望论坛里的朋友多把目光转向技术层面。,0
273,最后声明一下，,0
274,本人并不是什么索黑或者索粉，,0
275,我只是一个理性购买器材的摄影爱好者，,0
276,手头的器材是A77，,0
277,NEX6，,0
278,尼康FM2，,0
279,海鸥4B以及宝丽来Model100。,0
280,我选择的只是好用、耐用的器材，,0
281,和品牌关系不大。,0
282,发这个帖子也并不是顶索尼，,0
283,而是希望论坛里的朋友们对新发布而又没有达到自己预想的机器抱一个端正的态度。,0
284,最后希望大家一如既往的多出好片~,0
285,参看了一下epl5，,0
286,发现各方面都不错，,0
287,合眼缘，,0
288,性能貌似也不弱,2
289,希望松下跟进，,0
290,尺寸能更小就最好了，,0
291,要USB充电！,0
292,搭个14饼揣口袋，,0
293,圆满。,0
294,我开始也是在这两里选，,0
295,EPL5没有EVE，,1
296,这个我很看重，,0
297,因为在阳光下不带EVE很痛苦，,0
298,而且上个长焦，,0
299,用头顶着，,0
300,稳定性好很多，,0
301,一查EM5那种EVE是1900元，,0
302,再看一屏，,0
303,EM5也强出不少，,2
304,EPL5单机3000左右，,0
305,加上屏和EVE的因素，,0
306,这时3000+2000=5000元了，,0
307,EM5大概6200元，,0
308,这1200元就是全属机身，,0
309,5轴了防抖，,0
310,机身做工，,0
311,操做感什么的。,0
312,想了想，,0
313,对自己好点吧，,0
314,上EM5吧，,0
315,要是上了EPL5，,0
316,肯定还是想着EM5,0
317,下月EP5发布，,0
318,带EVE，,0
319,价格估计在这两之间，,0
320,要不等一等。,0
321,其实松下G5除了画质外，,1
322,各方面我都很满意，,0
323,EVE，,0
324,内闪，,0
325,翻转屏，,0
326,静音快门，,0
327,握感很好，,0
328,奥巴的机器握感都不好,1
329,em5比epl5的优点是防抖极强，,2
330,防滴溅，,2
331,缺点是体积略大，,1
332,重量重不少,1
333,（但实际外观也很小巧），,2
334,价格贵不少。,1
335,epl5优势是更加轻便，,0
336,外形比较时尚，,2
337,也便宜不少。,0
338,资金充足尽量买em5,0
339,前段时间我刚在TB上入了17-50（港行），,0
340,还不错！,0
341,成像锐利，,2
342,就是色彩比较淡，,1
343,有点呆板，,0
344,没有宾得的鲜锐感。,2
345,但总体来说还是不错的，,0
346,对焦比sdm快，,2
347,做工也不错，,2
348,比不了饼干，,0
349,但不比18-135差。,0
350,由于适马和宾得和sony有协议所以少了os，,0
351,这个比较遗憾！,0
352,今年还打算入8-16和70-200，,0
353,穷人买不起原厂啊，,0
354,换门伤不起，,0
355,也舍不得饼干，,0
356,小地方更伤不起sdm。,0
357,所以我觉得适马是不错的选择！,0
358,注意17-50行程比较短，,0
359,17端容易近距跑焦,0
360,G5吧，,0
361,目前单机3700，,0
362,套机5000左右。,0
363,对焦速度很快、,2
364,液晶屏可以全角度旋转，,2
365,高感也不比EPL5/EM5差，,2
366,多EPL5还多个EVF。,0
367,如果喜欢奥巴可以考虑EPL5，,0
368,除了屏只能上翻170度，,0
369,不过自拍应该够，,0
370,高感也不错，,2
371,只是控制和手感恐怕没有G5这么舒服。,1
372,只是控制和手感恐怕没有G5这么舒服。,1
373,PS：色彩的话，,1
374,其实现在新出的G5和GH3都不差，,0
375,跟奥巴比各有千秋。,0
376,据说松下对焦比奥巴快点，,2
377,不过奥巴也非常快了，,0
378,可以忽略,0
379,gx1比g3新一点，,0
380,当时宣传对焦更快，,2
381,不过也是微小的差距，,0
382,gf系列的画质一般。,1
383,成像epl5最新最好，,2
384,价格也最高，,1
385,建议还是买epl5,0
386,试用了一下5D2，,0
387,效果很出乎我的意料。,2
388,之前，,0
389,"只用过40D,",0
390,没有用过全幅。,0
391,同样的镜头，,0
392,5D2出片，,2
393,细腻、清晰、层次丰富，,0
394,是比40D好太多了。,0
395,奇怪，,0
396,原图自己电脑上看很清楚，,0
397,怎么压缩后传到无忌上这么不清楚了？,0
398,郁闷。,0
399,"先吐槽一下,",0
400,"650d的对焦,",1
401,"是在是太烂了,",0
402,"大部分都不清楚(我用的快速对焦模式),",0
403,"唉,早知道就买7d了.",0
404,"对焦烂也就算了,",1
405,"画面也惨不忍睹,",1
406,"雾蒙蒙的,",0
407,"用dpp也调不好(我用7d也用了3年多了,dpp操作还是比较熟悉的.)",0
408,1.镜头都是15-85.,0
409,"2.7d阳光下拍出来很正常,",2
410,"650d拍出来白蒙蒙的,",1
411,"都是av模式,iso100,局部测光, 顺光拍摄, 快速对焦.",0
412,"哪个大哥大姐给支点招啊,",0
413,"是不是机子和镜头有问题啊,",0
414,还是650d和7d拍摄的设置要不一样一点啊???,0
415,就是给RX1提意见，您可以不必进来浪费时间,0
416,1.机械快门线的确蛋疼。,1
417,2.电池还行吧，,2
418,不过我没有去过高寒地区,0
419,3.jpg直出太差了，,1
420,色彩太假、,1
421,锐度偏低，,1
422,比富士差一大截,0
423,索尼的电子技术确实不高不深，,1
424,它相机里电池自行放电由来已久，,1
425,这么小的电子问题都长久没解决，,0
426,说明他的电子设计和技术较低端。,1
427,说明他的电子设计和技术较低端。,1
428,rx1最大的问题是为小体积而小体积，,1
429,主要目标是广大娇小女士，,0
430,在三八妇女节来临之际，,0
431,我们还是要投索尼一票。,0
432,关键是没有了手柄没有了眼平取景器，,0
433,让那些用rx1的女士双臂平伸端着手感很差的500克重物显得那么滑稽可笑。,1
434,男士的大手更是局促了。,0
435,问题是体积也没见小啊，,1
436,镜头突出很多。,1
437,所以索尼设计理念上不高明，,1
438,甚至可以说很差。,0
439,昨天买了“黑卡”RX100，,0
440,比LX3好用许多。,0
441,随意试机，,0
442,使用A档，,0
443,色彩标准模式，,0
444,尽管还没搞定操作细节，,0
445,但感觉操控性、,2
446,成像质量，,2
447,远超松下LX3。,0
448,不过手感一般，,1
449,正面太滑，,1
450,易摔落，,0
451,一定要带上腕带。,0
452,感觉极其完美，,0
453,索尼不该犯低级错误。,0
454,说来惭愧，,0
455,K-01到手时间不短，,0
456,不过用的次数却很少。,0
457,天冷是一方面，,0
458,当然主要还是因为人犯懒了。。。,0
459,K-01应该说是一台很有看点的相机。,0
460,刚发布的时候这个外观可以说没少招口水。,2
461,大名鼎鼎的Marc Newson倾情奉献。,0
462,不过摄影爱好者似乎并不怎么买著名设计师的账。,0
463,再看后来出现的哈苏Lunar，,0
464,显然摄影爱好者心中有自己对相机的固定理解，,0
465,违背这种理解的就会被认作是“异类”。,0
466,简单来说，,0
467,也就是“相机就该有相机的样子”。,0
468,言归正传。,0
469,其实K-01的设计并没有那么糟糕。,0
470,看久了之后甚至还会觉得挺可爱的。,0
471,圆润的按钮其实手感很不错。,2
472,如果不是太重的话，,0
473,K-01算得上一部很耐玩的相机。,0
474,当然，,0
475,这种更偏向“玩物”，,0
476,而非功能性的特点，,0
477,也是很多爱好者喷它的理由之一。,0
478,回到摄影话题上。,0
479,K-01最大的特点应该是完全移植了单反的K卡口。,0
480,这在无反相机中是独树一帜的。,0
481,即使最依赖单反系统的佳能，,0
482,也为EOS M设计了全新的卡口。,0
483,采用单反卡口，,0
484,表面上看拥有完全支持单反镜头的优势，,2
485,但实际上付出的却是体积——无法相机最重要的优势——的代价。,1
486,不过，,0
487,其实我并不是“极致便携”的追随者。,0
488,我始终认为相机是需要有一定体积和重量的，,0
489,因为相机一定要能让人“端稳”。,0
490,太小太轻的相机很难端稳，,0
491,加上重心位置的问题，,0
492,其实相机比镜头稍重一些用起来会更趁手。,0
493,K-01的体积握起来手感还是不错的，,2
494,份量也不轻，,2
495,拿在手里很有一种厚实感。,0
496,为了匹配K卡口，,0
497,K-01基本是“毫无意义”地增加了法兰距。,0
498,在这一段空间中，,0
499,宾得做了很多消光措施，,0
500,包括在表面铺了吸光材料，,0
501,并做出了锯齿等，,0
502,这些措施都是为了尽量减少内部反光造成的杂光。,0
503,操控方面，,0
504,K-01是走简化的路子。,0
505,相机设计的问题之一，,0
506,就是必须考虑拍摄者的操控需要。,0
507,像E-M5那样强调操控的机器，,0
508,哪里需要拨轮，,0
509,哪里需要按钮都首先要考虑使用上的需要。,0
510,在这方面可以说Marc是相对负担比较小的。,0
511,较简单的操控要求，,2
512,较大的相机体积，,2
513,都让他有充足的空间去发挥自己的设计。,0
514,本人已经入手D90啦（18-105VR套机），,0
515,通过这个帖子，,0
516,加上几天以来的思考，,0
517,个人感觉收获良多。,0
518,以下是我入手D90后的试机体验以及通过这次购机获得的几点感受：,0
519,一、D90用机体验,0
520,1、手感比预想的要好，,2
521,没有所说工程塑料的玩具感那么夸张，,0
522,还是挺厚实的，,0
523,只是开电池舱盖和sd卡舱盖的时候能明显感觉到塑料的做工，,1
524,特别是电池舱盖，,1
525,有点薄。,0
526,看来尼康金属骨架＋工程塑料的做工还过得去（本人只用过5d和d300，手感是与这两部机来对比的）,0
527,2、买的时候知道比40d机身小一圈，,0
528,但整个套机拿在手里也没有向别人说的那样小，,0
529,可能机身比较厚的缘故吧。,0
530,不过与40d相比d90的机身确实短了一些（从左到右方向），,1
531,直接导致了握镜头的左手与抓手柄的右手在对焦操作时“打架”，,0
532,呵呵，,0
533,手柄突出部分和镜头对焦环之间的空间挤了点。,1
534,3、机身背后按键设置与大拇指操作配合得不错，,2
535,原来一直担心由于机身比较短会给大拇指操作空间带来影响，,2
536,看来担心是多余的（本人171cm，手掌大小中等）,0
537,4、快门声确实像玩家说过的那样，,2
538,比较清脆（与D300相近，但没有5D那么浑厚），,0
539,这个嘛，,0
540,萝卜白菜，,0
541,各有所爱，,0
542,看买家自己的喜好啦。,0
543,5、肩屏显示的信息很多，,1
544,受限机身大小，,0
545,显示起来有点挤，,0
546,但还可以接受，,0
547,这个价位嘛。,0
548,罗罗嗦嗦说了那么多，,0
549,各位看官可能都累了，,0
550,希望有意入手的兄弟用得上。,0
551,我买D80的时候也只有1万的预算，,0
552,而且那个时候D80的价格还比较高，,0
553,机身7200，,0
554,只配了1个镜头18-35mm F3.5-4.5银广角。,0
555,因为当时主要事为了出去旅游配的。,0
556,后来为了参加一些外拍活动，,0
557,拍PLMM又陆续添置了50mm、85mm、135mm、180mm焦段的定焦镜头和一个28-70mm变焦镜头。,0
558,个人的实际感受是，,0
559,镜头陆续添置，,0
560,没有必要一步到位，,0
561,既可以享受更换镜头的乐趣，,0
562,也可以在不断的使用中慢慢的明白自己到底喜欢拍什么，,0
563,拍什么类型的比较多，这样有针对性的购买镜头是比较理想的。,0
564,对于一万元步入尼康单反这个大门的朋友，,0
565,机身建议考虑D80，,0
566,因为它的功能很不错，,2
567,价格相对D200要便宜3K，,2
568,而且配件也要便宜一些，,2
569,比如储存卡D80用的SD卡4G的价格是310元，,0
570,D200使用的CF卡4G的至少要600多，,0
571,并且使用SD卡储存的数码设备也有很多，,0
572,买SD卡可以减少浪费。,0
573,喜欢旅游的建议买尼康原厂的18-35mm F3.5-4.5银广角，,0
574,它经济实惠成像也好，,2
575,是很超值的广角镜头。,2
576,数码单反有一个系数问题，,0
577,所以18-35在D80上面实际焦段是27-43mm觉得不够广的朋友可以考虑副厂镜头的图丽的12-24mm F4或者适马10-20。,0
578,喜欢拍人像，,0
579,或者买单反就是为了拍自己女友、老婆、家人，,0
580,比如自己的小孩的朋友可以考虑买尼康的85MM F1.8D和50MM F1.8D。,0
581,这两个都是不错的人像头，,2
582,50MM的焦段折算之后是75mm比较适合在屋内拍摄，,0
583,在户外可以拍到此一游照。,0
584,85mm折算之后大概是135mm更适合户外的拍摄，,0
585,拍半身人像、特写都很好。,2
586,拍半身人像、特写都很好。,2
587,想旅游人像兼顾的朋友有一个方案可以考虑买一个尼康的18-135mm这个也是D80的套机镜头，,0
588,所以你购买的时候可以直接拿一个D80套机，,0
589,这个镜头的成像还算不错，,2
590,适合拍风景、人像等等。,0
591,还有一个方案就是买尼康的D40X机身配DX系列镜头，,0
592,注意不是DX的镜头，,0
593,无法自动对焦。,0
594,这样选择镜头的面就窄了一些，,0
595,不过也还是有不少DX镜头可以选择，,0
596,具体的请参看前文的镜头介绍。,0
597,"新买CANON IXUS 860IS,使用感受、心得以及试机片．",0
598,首先先发点感慨．．．好机．真的是好机．．．,0
599,我买的是银色外观黑色镜头的那款．,0
600,价格在２７ＸＸ元（ＸＸ小于５０～～～）．,0
601,我所在的城市和其他的大城市不能比啊．．．,0
602,价格，,0
603,差不多就得了．,0
604,我个人觉得犯不上为了１００－２００的差价弄个网购．．．,0
605,都不够时间折腾呢．,0
606,呵呵．,0
607,另外在ＪＳ那又买了个电池，,0
608,ＪＳ声称为原厂电池，,0
609,价１４０元（ＮＢ－５Ｌ），,0
610,但是根据我个人观察，,0
611,觉得不象原电．．．,0
612,算了．让他们赚点吧．．．,0
613,人家也是有运营成本的．,0
614,我相中该机器的，,0
615,主要是２８ＭＭ的广角镜头，,2
616,ＩＳＯ　１６００（至少ＩＳＯ　４００可用），,0
617,和ＩＳ防抖功能．,0
618,另外金属机身（应该是吧？）和３寸的屏幕也是我比较中意的地方．,2
619,另外金属机身（应该是吧？）和３寸的屏幕也是我比较中意的地方．,2
620,在用这个机器之前，,0
621,俺先后拥有过佳能的ＥＯＳ　３００Ｄ，３５０Ｄ，３０Ｄ．,0
622,镜头也用过Ｎ只．,0
623,虽然对ＩＳ头的感觉一般，,0
624,但是，,0
625,既然数码时代都流行防抖了，,0
626,那买小ＤＣ，,0
627,也得考虑考虑ＩＳ，,0
628,是不是？,0
629,呵呵．,0
630,佳能机器的操作风格都是大同小异的．,0
631,除了顶级的１系列．．．,0
632,（操作够复杂的，,1
633,不过用起来还真顺手～～～稀饭．）,0
634,照片回放的时候，,0
635,３英寸的ＬＣＤ给人的感觉实在是太完美了．,2
636,可是很多照片在机器上看起来很清晰，,2
637,但是拿回家在电脑上看，,0
638,可就不是那么回事了．,0
639,还有整体的暴光度，,0
640,当ＬＣＤ屏幕的亮度调节到中间的时候，,0
641,拍摄的照片看起来都是暴光正常的．,0
642,可是在电脑上看，,0
643,就暴光不足了．,1
644,现在俺的ＬＣＤ亮度设置已经调节为最暗了．,0
645,你的呢？,0
646,回放照片的时候还有一个好玩的功能，,0
647,就是机器竖拍的照片，,0
648,在机器保持横着放置的时候回放，,0
649,照片是自动翻转过来的，,0
650,把机器竖着立起来，,0
651,照片又会自动的翻转一次．,0
652,哈哈．,0
653,不过这样带来的坏处是有时候看照片会很不方便，,0
654,也会拖累机器的回放速度．,1
655,这机器的重量对我来说正好，,2
656,大小也正好，,2
657,可以很方便的装进外套的兜里（但是容易丢．．．）．,0
658,如果是装到衬衫的兜里呢，,0
659,也不错．,0
660,但是会显得厚了一些．．．,0
661,不说了．,0
662,这机器还有好多功能我没玩明白呢．,0
663,哈哈．,0
664,去玩机了．,0
665,如果有什么后续的经验的话，,0
666,俺会在加进来的．．,0
667,个人爱用之入门机款Nikon D50也将近快一年，,0
668,在这一年中，,0
669,D50陪我拍过无数电脑产品测试文章，,0
670,一直很喜欢它的锐利度、色泽与对焦速度。,2
671,一直很喜欢它的锐利度、色泽与对焦速度。,2
672,一直很喜欢它的锐利度、色泽与对焦速度。,2
673,不过随着2006下半年DSLR进入战国时代，,0
674,9~11点对焦、2.5寸LCD与千万象素的普及，,0
675,让小弟对于升級机身的声音开始越来越大。,0
676,照惯例，,0
677,个人依然花时间做机身选购的一些功课，,0
678,锁定购入机种主要在Nikon D80与最近Pentax刚推出的新款产品——相当火热的K10D。,0
679,D80已经推出快3个月，,0
680,网络上许多讨论与画质测试依然相当出色，,2
681,功能也比D50强了不少，,2
682,最重要的除了长期习惯使用Nikon系统外，,0
683,还有D50使用的三款镜头与SB800可以使用。,0
684,"K10D除了价格比D80较高一些,",1
685,胜在机身质感佳，,2
686,加上內建防手震等等功能，,2
687,机身规格比其相近等級之Canon 30D与Nikon D80好上一些，,2
688,考虑很久加上好不容易可以订到K10D，,0
689,就马上出清了Nikon配备，,0
690,准备进入Pentax世界探究一番。,0
691,Pentax K10D,0
692,优点,0
693,1.机身质感佳，,2
694,金属机身皮革覆盖范围也广；,2
695,2.观景窗視野非常明亮，,2
696,LCD色泽与可视角表现也佳；,2
697,LCD色泽与可视角表现也佳；,2
698,3.照片成象色泽自然柔和，,2
699,细节表現出色；,2
700,4.机身按钮与功能选单，,2
701,4.机身按钮与功能选单，,2
702,已经有中阶级水准，,0
703,与其他厂比毫不逊色；,0
704,5.內建机身防手震功能，,2
705,目前只有SONY也开放这项技术在机身上；,0
706,6.价格竞争力够，,2
707,以1000美金上下的价格，,0
708,比之同級的D80/30D都拥有较高的C/P值；,0
709,缺点,0
710,1.JPG画质偏软，,1
711,加锐利度1~2也沒有太大帮助；,0
712,2.自动白平衡在某些特定场合容易出錯；,1
713,3.对焦速度偏慢，,1
714,尤其在暗处更容易发生对不到焦的狀況；,0
715,4.细节较多，,1
716,但是ISO400以上就有部份杂讯，,0
717,ISO800时更多...,0
718,5.K10D上市后，热门镜头时常缺货；,0
719,6.改成RAW之后虽然画质变好，,2
720,但是档案比起別家来大许多；,0
721,虽然大家不断的在讨论，,0
722,千万象素相机需要好一些的镜头才能发挥水准，,0
723,相信此次个人使用的2款镜头也非入门等級，,0
724,何況Pentax原厂拿18-55做为K10D Kit搭配。,0
725,今天不是要求K10D跟它厂一样高ISO纯净或者高锐利度，,0
726,但在基本的锐利度表现，,1
727,比起其他厂的千万像素或是所有的六百万DSLR，,0
728,都是很弱的。,0
729,测试使用JPG拍照，,0
730,压缩比有些点，,1
731,档案算蛮小的。,1
732,有空時会补上RAW或是LE鏡的测试。,0
733,爱之深，,0
734,责之切。,0
735,不管如何，,0
736,值最高的机身，,0
737,期待它有更好的表現，,0
738,更期待Pentax能改善一些不完善。,0
739,毋庸讳言，,0
740,S9500是一款让人“爱恨交加”的机子，,0
741,优点和缺点似乎都比较突出，,0
